,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,tot cases/1m_pop,deaths/1m_pop,total_tests,tests/_1m_pop,lat,long
158,Nepal,109,7,0,0,31,78,0,4.0,0,72239,2479,28.394857000000002,84.124008
159,Aruba,101,0,3,0,89,9,4,946.0,28,1817,17019,12.52111,-69.968338
160,Monaco,95,0,4,0,82,9,1,2421.0,102,0,0,43.750298,7.412841
161,Guyana,94,0,10,0,35,49,3,120.0,13,785,998,4.860416000000001,-58.93018
162,Bahamas,92,0,11,0,31,50,1,234.0,28,1500,3814,25.03428,-77.39628
163,Mozambique,87,5,0,0,34,53,0,3.0,0,3356,107,-18.665695,35.529562
164,Barbados,83,0,7,0,53,23,4,289.0,24,2788,9702,13.193887,-59.543198
165,Liechtenstein,82,0,1,0,55,26,0,2151.0,26,900,23605,47.166000000000004,9.555373
166,Cayman Islands,81,0,1,0,41,39,3,1232.0,15,3423,52083,19.513469,-80.566956
167,Sint Maarten,76,0,14,0,44,18,7,1773.0,327,329,7673,18.0425,63.0548
168,Libya,64,0,3,0,24,37,0,9.0,0,2338,340,26.3351,17.228331
169,French Polynesia,60,0,0,0,56,4,1,214.0,0,2816,10025,-17.679742,-149.406843
170,Malawi,56,13,3,0,14,39,1,3.0,0,1188,62,-13.254307999999998,34.301525
171,Syria,47,0,3,0,29,15,0,3.0,0,0,0,34.802075,38.996815
172,Macao,45,0,0,0,40,5,1,69.0,0,0,0,22.1987,113.5439
173,Angola,43,0,2,0,13,28,0,1.0,0,3000,91,-11.202691999999999,17.873887
174,Mongolia,42,0,0,0,14,28,0,13.0,0,9203,2807,46.862496,103.846656
175,Saint Martin,39,1,3,0,30,6,1,1009.0,78,0,0,18.0708,63.0501
176,Eritrea,39,0,0,0,37,2,0,11.0,0,0,0,15.179383999999999,39.782334
177,Zimbabwe,35,1,4,0,9,22,0,2.0,0,16052,1080,-19.015438,29.154857
178,Yemen,34,0,7,0,1,26,0,1.0,0,120,4,15.552726999999999,48.516388
179,Antigua and Barbuda,25,0,3,0,19,3,1,255.0,31,183,1869,17.060816,-61.796428
180,Timor-Leste,24,0,0,0,21,3,0,18.0,0,738,560,-8.874217,125.727539
181,Botswana,23,0,1,0,12,10,0,10.0,0,9540,4057,-22.328474,24.684866
182,Grenada,21,0,0,0,13,8,4,187.0,0,1406,12495,12.262775999999999,-61.604171
183,Gambia,20,0,1,0,9,10,0,8.0,0,756,313,13.443182,-15.310139
184,Laos,19,0,0,0,13,6,0,3.0,0,2908,400,19.856270000000002,102.495496
185,Belize,18,0,2,0,16,0,0,45.0,5,1043,2623,17.189877,-88.49765
186,Fiji,18,0,0,0,14,4,0,20.0,0,1300,1450,-16.578193,179.414413
187,New Caledonia,18,0,0,0,18,0,0,63.0,0,5213,18259,-20.904304999999997,165.618042
188,Saint Lucia,18,0,0,0,17,1,0,98.0,0,620,3376,13.909444,-60.978893
189,St. Vincent Grenadines,17,0,0,0,9,8,0,153.0,0,137,1235,12.9843,61.2872
190,Nicaragua,16,0,5,0,7,4,0,2.0,0,0,0,12.865416,-85.207229
191,Curaçao,16,0,1,0,14,1,0,98.0,6,389,2371,,
192,Dominica,16,0,0,0,14,2,0,222.0,0,416,5779,15.414999,-61.370976
193,Namibia,16,0,0,0,10,6,0,6.0,0,1511,595,-22.957639999999998,18.49041
194,Burundi,15,0,1,0,7,7,0,1.0,0,284,24,-3.3730559999999996,29.918886
195,Saint Kitts and Nevis,15,0,0,0,13,2,0,282.0,0,327,6147,17.357822,-62.782998
196,Falkland Islands,13,0,0,0,13,0,0,3736.0,0,402,115517,51.7963,59.5236
197,Turks and Caicos,12,0,1,0,8,3,0,310.0,26,109,2815,21.694000000000003,71.7979
198,Vatican City,12,0,0,0,2,10,0,14981.0,0,0,0,41.902916,12.453389
